name,url,description,site,price,teacher
People Analytics,https://www.coursera.org/learn/wharton-people-analytics,"People analytics is a data-driven approach to managing people at work. For the first time in history, business leaders can make decisions about their people based on deep analysis of data rather than the traditional methods of personal relationships, decision making based on experience, and risk avoidance. In this brand new course, three of Wharton’s top professors, all pioneers in the field of people analytics, will explore the state-of-the-art techniques used to recruit and retain great people, and demonstrate how these techniques are used at cutting-edge companies. They’ll explain how data and sophisticated analysis is brought to bear on people-related issues, such as recruiting, performance evaluation, leadership, hiring and promotion, job design, compensation, and collaboration. This course is an introduction to the theory of people analytics, and is not intended to prepare learners to perform complex talent management data analysis. By the end of this course, you’ll understand how and when hard data is used to make soft-skill decisions about hiring and talent development, so that you can position yourself as a strategic partner in your company’s talent management decisions. This course is intended to introduced you to Organizations flourish when the people who work in them flourish. Analytics can help make both happen. This course in People Analytics is designed to help you flourish in your career, too.",Coursera,8300000,7
People Analytics,https://www.coursera.org/learn/wharton-people-analytics?specialization=business-analytics,"People analytics is a data-driven approach to managing people at work. For the first time in history, business leaders can make decisions about their people based on deep analysis of data rather than the traditional methods of personal relationships, decision making based on experience, and risk avoidance. In this brand new course, three of Wharton’s top professors, all pioneers in the field of people analytics, will explore the state-of-the-art techniques used to recruit and retain great people, and demonstrate how these techniques are used at cutting-edge companies. They’ll explain how data and sophisticated analysis is brought to bear on people-related issues, such as recruiting, performance evaluation, leadership, hiring and promotion, job design, compensation, and collaboration. This course is an introduction to the theory of people analytics, and is not intended to prepare learners to perform complex talent management data analysis. By the end of this course, you’ll understand how and when hard data is used to make soft-skill decisions about hiring and talent development, so that you can position yourself as a strategic partner in your company’s talent management decisions. This course is intended to introduced you to Organizations flourish when the people who work in them flourish. Analytics can help make both happen. This course in People Analytics is designed to help you flourish in your career, too.",Coursera,6300000,6
Value-Based Care: Managing Processes to Improve Outcomes,https://www.coursera.org/learn/managing-processes?specialization=value-based-care,"COURSE 3 of 7. This course is designed to introduce you to critical office-based processes that a value-based practice must manage in the drive towards improved patient outcomes. In Module 2, we’ll focus on office-based and clinical patient-based supporting functions. At every level in healthcare, guidelines, processes, and functions exist to improve outcomes, and following a consistent process will return the best effect. Refine your understanding of value and learn strategies to provide real assistance to patients to manage chronic diseases and navigate the complex healthcare system. Gain an overview of panel management, a systematic, proactive approach to identify and address unmet chronic and preventive care needs of patients that leads to better health outcomes. Learn how clinical patient-based questions related to immunizations, cancer screenings, or diabetes care can generate data to support a strategy of identifying non-utilization patterns. In the summative assignment, you will demonstrate your knowledge by explaining and synthesizing the importance of office-based processes and patient-based supporting functions to improve patient outcomes and experience as well as clinical quality. As you reflect on what you have learned in this course, you will also have an opportunity to consider the relationship between managing these processes and functions and the fundamental premise of value-based care.",Coursera,2500000,14
Network Analysis in Systems Biology,https://www.coursera.org/learn/network-biology?specialization=systems-biology,"An introduction to data integration and statistical methods used in contemporary Systems Biology, Bioinformatics and Systems Pharmacology research. The course covers methods to process raw data from genome-wide mRNA expression studies (microarrays and RNA-seq) including data normalization, differential expression, clustering, enrichment analysis and network construction. The course contains practical tutorials for using tools and setting up pipelines, but it also covers the mathematics behind the methods applied within the tools. The course is mostly appropriate for beginning graduate students and advanced undergraduates majoring in fields such as biology, math, physics, chemistry, computer science, biomedical and electrical engineering. The course should be useful for researchers who encounter large datasets in their own research. The course presents software tools developed by the Ma’ayan Laboratory (http://labs.icahn.mssm.edu/maayanlab/) from the Icahn School of Medicine at Mount Sinai, but also other freely available data analysis and visualization tools. The ultimate aim of the course is to enable participants to utilize the methods presented in this course for analyzing their own data for their own projects. For those participants that do not work in the field, the course introduces the current research challenges faced in the field of computational systems biology.",Coursera,4000000,5
IoT Devices,https://www.coursera.org/learn/iot-devices-il?specialization=uiuc-iot,"The Internet of Things (IoT) stands to be the next revolution in computing. Billions of data-spouting devices connected to the Internet are already fundamentally changing the way we live and work. This course teaches a deep understanding of IoT technologies from the ground up. Students will learn IoT device programming (Arduino and Raspberry Pi), sensing and actuating technologies, IoT protocol stacks (Zigbee, 5G, NFC, MQTT, etc), networking backhaul design and security enforcement, data science for IoT, and cloud-based IoT platforms such as AWS IoT. As an optional honors avtivity, students will be guided through laboratory assignments designed to give them practical real-world experience, where they will deploy a distributed wifi monitoring service, a cloud-based IoT service platform serving tens of thousands of heartbeat sensors, and more. Students will emerge from the class with a cutting-edge education on this rapidly emerging technology segment, and with the confidence to carry out tasks they will commonly encounter in industrial settings. Important: To complete the practical part of the whole series (honors) there will be practical experimentation using actual hardware, which you will need to acquire. (Cost may vary between 100 and 200 USD depending on your location). Most parts that are needed for the first course, will be re-used in the following courses.",Coursera,2900000,7
Leading the Life You Want,https://www.coursera.org/learn/leading-the-life-you-want?specialization=wharton-success,"Pursue a meaningful life and improve your performance as a leader. Taught by acclaimed Wharton professor, best-selling author, and former Ford Motor Company executive and head of its Leadership Development Center, Stew Friedman, Leading the Life You Want provides you with the skills you need to lead in all four domains of your life: at work, at home, in the community, and in your private self (mind, body, and spirit). You'll explore the core principles of leadership and learn the skills you need to bring them to life. You learn how to find a greater sense of purpose, see how to convey values with stories, learn how to manage attention, feel less stressed, lead through serving others, and more. You'll see these skills illustrated in the inspiring yet imperfect lives of six remarkable leaders: Tom Tierney (former CEO of Bain), Sheryl Sandberg (COO of Facebook), Michelle Obama (former First Lady), Eric Greitens (Republican Governor of Missouri), Julie Foudy (world champion soccer star and three-time Olympic medalist), and Bruce Springsteen (world-famous rock musician). You'll have the opportunity to assess your own leadership skills, and learn simple, proven exercises to practice them. By the end of this course, you'll have the tools you need to develop your skills so you can grow as a leader in all areas of your life and create greater harmony among them.",Coursera,1600000,7
Value-Based Care: Quality Improvement in Organizations,https://www.coursera.org/learn/value-based-care-quality-improvement-in-organizations?specialization=value-based-care,"COURSE 6 of 7. Fragmented healthcare has created the need for healthcare reform, changing how healthcare is delivered and managed by shifting the structure and culture of healthcare organizations across the U.S. In this course, you will explore ways that provider organizations can successfully move from volume to value through implementing Quality Improvement plans and Continuous Quality Improvement. Organizational improvement is a continuous process. To be successful means coming to grips with things you have to do, how they get done, and who needs to be involved. Paramount to the process is recognizing that every role—every team member—in the organization is important to a successful VBC strategy. You will also learn about adaptive leadership and how to advance vision and innovation through collaboration. Collaborative relationships between team members and leadership are critical to the transformation. You will explore strategies to gain buy-in, agreement, and understanding about the organization’s vision of value-based care and learn to engage team members in developing solutions to challenges. In the summative assignment, you will identify a measurable value-based care goal that would benefit from process improvement, describe how that goal will be communicated with the care team, and explain your role in leading the targeted improvements.",Coursera,8800000,5
"Medical Emergencies: CPR, Toxicology, and Wilderness",https://www.coursera.org/learn/medical-emergencies-cpr-toxicology-wilderness?specialization=become-an-emt,"In this course, you will develop the knowledge and skills to assess and stabilize certain types of patients for transport. By the end of this course, you will be able to: (1) Identify the signs and symptoms associated with a patient in shock, to describe the major categories of shock, to assess a patient with signs of shock and formulate a plan for treatment to stabilize the patient for transport, (2) Identify a patient in cardiac arrest and to describe the components of high performance CPR including placement of an AED, components of quality chest compressions, and options for oxygenation, (3) Identify a patient with under the influence of a drug of abuse or a toxicologic ingestion, assess a patient with a potential or known ingestion, and to formulate a plan for treatment and stabilization for transport including that of a violent patient, (4) Identify the symptoms associated with the most common environmental emergencies including hypothermia, hyperthermia, lightning strike and drowning, to assess patients with an environmental emergency and to describe initial treatment and stabilization for transportation and (5) Understanding your patient's story as well as to think critically about the complaint and symptoms associated with the gastrointestinal track, renal system, and the reproductive system.",Coursera,8500000,5
Leading Diverse Teams & Organizations,https://www.coursera.org/learn/leading-diverse-teams-and-organizations,"In this new course, you'll gain evidence-based knowledge and practical tools to help you design and lead diverse, equitable, and inclusive (DEI) teams and organizations. Whatever your background, and wherever in the world you may be, you’ll gain tools to accelerate your personal journey to lead diverse teams and organizations. This program is specifically designed to accommodate learners from different backgrounds (gender, race, country of origin, etc) as well as different starting knowledge points (new to the topic or social justice warriors). In the course, you’ll learn to better understand yourself and your personal identity in the workplace and gain new skills to identify privilege, implicit bias, and microaggressions in your organization and to take action as an active ally and change advocate. After hearing from experts representing a diverse array of real-world perspectives, you’ll understand best practices for equitable organizational processes and norms and inclusive behavioral practices in teams. Finally, you'll learn about best practices for organizational DEI strategy, including the role of metrics in DEI work and how DEI work can be integrated into the heart of an organization. At the end of the course, you’ll create a DEI action plan which you can apply to your own life and workplace.",Coursera,1900000,5
Value-Based Care: Introduction to Value-Based Care and the U.S. Healthcare System,https://www.coursera.org/learn/value-based-care-introduction?specialization=value-based-care,"COURSE 1 of 7. This course is designed to introduce you to the concept of value-based care (VBC). While the information you will explore is general, it will help you establish a solid foundation for continued learning and future thinking about the concept of VBC. Through a historical lens, you will explore the creation of Medicare and Medicaid and the evolution of commercial insurance, TRICARE, and the Veterans Health Administration. While history is an important filter for understanding healthcare in this country, you will learn how each of these mechanisms emerged, the populations served, and what changes occurred over time, with a focus on funding and expenditures. In addition, this course will help you establish a firm foundation for understanding the development and evolution of quality measures and outcomes in healthcare. By developing an understanding of what quality is and how it is measured, you can begin a knowledge-building exploration of the components of quality in healthcare. Why is this important?  In value-based care models, providers must meet quality measures and improve the health outcomes of their patients.  In the summative assignment, you will use a national system of quality measures to develop a plan that would positively impact value within your healthcare organization.",Coursera,1900000,15
Healthcare Data Models,https://www.coursera.org/learn/healthcare-data-models?specialization=healthcare-information-literacy-data-analytics,"Career prospects are bright for those qualified to work in healthcare data analytics. Perhaps you work in data analytics, but are considering a move into healthcare where your work can improve people’s quality of life. If so, this course gives you a glimpse into why this work matters, what you’d be doing in this role, and what takes place on the Path to Value where data is gathered from patients at the point of care, moves into data warehouses to be prepared for analysis, then moves along the data pipeline to be transformed into valuable insights that can save lives, reduce costs, to improve healthcare and make it more accessible and affordable. Perhaps you work in healthcare but are considering a transition into a new role. If so, this course will help you see if this career path is one you want to pursue. You’ll get an overview of common data models and their uses. You’ll learn how various systems integrate data, how to ensure clear communication, measure and improve data quality. Data analytics in healthcare serves doctors, clinicians, patients, care providers, and those who carry out the business of improving health outcomes. This course of study will give you a clear picture of data analysis in today’s fast-changing healthcare field and the opportunities it holds for you.",Coursera,5900000,4
Project Execution: Running the Project,https://www.coursera.org/learn/project-execution-google,"This is the fourth course in the Google Project Management Certificate program. This course will delve into the execution and closing phases of the project life cycle. You will learn what aspects of a project to track and how to track them. You will also learn how to effectively manage and communicate changes, dependencies, and risks. As you explore quality management, you will learn how to measure customer satisfaction and implement continuous improvement and process improvement techniques. Next, you will examine how to prioritize data, how to use data to inform your decision-making, and how to effectively present that data. Then, you will strengthen your leadership skills as you study the stages of team development and how to manage team dynamics. After that, you will discover tools that provide effective project team communication, how to organize and facilitate meetings, and how to effectively communicate project status updates. Finally, you will examine the steps of the project closing process and how to create and share project closing documentation. Current Google project managers will continue to instruct and provide you with hands-on approaches for accomplishing these tasks while showing you the best project management tools and resources for the job at hand.",Coursera,1600000,8
Value-Based Care: Organizational Competencies,https://www.coursera.org/learn/value-based-care-organizational-competencies?specialization=value-based-care,"COURSE 5 of 7. This course is designed to introduce you to the changes an organization will need to make to succeed in value-based care and payment. In previous courses in this specialization, you were introduced to the Accountable Care Learning Collaborative (ACLC). One of the models you will explore is the ACLC’s Accountable Care Atlas model. This model, along with additional information from the Health Care Payment Learning and Action Network (HCP-LAN), will help you begin to understand the challenges and rewards of transitioning to value-based care. In Module 2, you will explore those concepts through the lenses of three types of healthcare organizations, tying those examples back to types of value-based contracts. You will also explore strategies to address some of the challenges in the journey to value-based care. In the summative assignment, you will demonstrate your knowledge by envisioning that you have been invited to speak as part of a roundtable discussion on the challenges of transitioning to value-based care and payment. You will develop an outline of talking points in which you will share why VBC is valuable, the challenges and strategies that might address them, and where you see opportunities for progress in the transition to value-based care.",Coursera,3200000,14
Research Instruments and Research Hypotheses,https://www.coursera.org/learn/research-instruments-and-research-hypotheses?specialization=market-research-market-research,"This course concentrates on the design and development of different research instruments. In this vein, the focus will be placed on the development of an instrument design strategy, scales of measurement and the components of the research report. The course begins by looking at the questionnaire development process with a focus on questionnaire design, question type and wording, pretesting and revising. We will consider the identification of scales of measurement and operationalisation, and the design of an online questionnaire. We are going to discuss sources of measurement differences, and the assessment of the reliability of measurements. The issue of the validity of measurements and the various types of validity will also be explored, as well as attitude measurement. We will discuss data preparation and processing, data coding, adjustment, and data analysis using multivariate data approaches. We are also going to explore frequency distribution and measures of location, variability and shape. The course ends with a discussion on hypothesis testing and the use of statistics relevant to cross-tabulations. We will discuss parametric and non-parametric tests in hypothesis testing and group comparison as well as the different sections of the research report.",Coursera,4500000,12
"Big Data, Artificial Intelligence, and Ethics",https://www.coursera.org/learn/big-data-ai-ethics?specialization=computational-social-science-ucdavis,"This course gives you context and first-hand experience with the two major catalyzers of the computational science revolution: big data and artificial intelligence. With more than 99% of all mediated information in digital format and with 98% of the world population using digital technology, humanity produces an impressive digital footprint. In theory, this provides unprecedented opportunities to understand and shape society. In practice, the only way this information deluge can be processed is through using the same digital technologies that produced it. Data is the fuel, but machine learning it the motor to extract remarkable new knowledge from vasts amounts of data. Since an important part of this data is about ourselves, using algorithms in order to learn more about ourselves naturally leads to ethical questions. Therefore, we cannot finish this course without also talking about research ethics and about some of the old and new lines computational social scientists have to keep in mind. As hands-on labs, you will use IBM Watson’s artificial intelligence to extract the personality of people from their digital text traces, and you will experience the power and limitations of machine learning by teaching two teachable machines from Google yourself.",Coursera,8100000,12
Computational Social Science Capstone Project,https://www.coursera.org/learn/css-capstone?specialization=computational-social-science-ucdavis,"CONGRATULATIONS! Not only did you accomplish to finish our intellectual tour de force, but, by now, you also already have all required skills to execute a comprehensive multi-method workflow of computational social science. We will put these skills to work in this final integrative lab, where we are bringing it all together. We scrape data from a social media site (drawing on the skills obtained in the 1st course of this specialization). We then analyze the collected data by visualizing the resulting networks (building on the skills obtained in the 3rd course). We analyze some key aspects of it in depth, using machine learning powered natural language processing (putting to work the insights obtained during the 2nd course). Finally, we use a computer simulation model to explore possible generative mechanism and scrutinize aspects that we did not find in our empirical reality, but that help us to improve this aspect of society (drawing on the skills obtained during the 4th course of this specialization). The result is the first glimpse at a new way of doing social science in a digital age: computational social science. Congratulations! Having done all of this yourself, you can consider yourself a fledgling computational social scientist!",Coursera,9300000,5
 Advanced Topics in Derivative Pricing,https://www.coursera.org/learn/financial-engineering-advancedtopics?specialization=financialengineering,"This course discusses topics in derivative pricing. The first module is designed to understand the Black-Scholes model and utilize it to derive Greeks, which measures the sensitivity of option value to variables such as underlying asset price, volatility, and time to maturity. Greeks are important in risk management and hedging and often used to measure portfolio value change. Then we will analyze risk management of derivatives portfolios from two perspectives—Greeks approach and scenario analysis. The second module reveals how option’s theoretical price links to real market price—by implied volatility. We will discuss pricing by volatility surface as well as explanations of volatility smile and skew, which are common in real markets. The third module involves topics in credit derivatives and structured products and focuses on Credit Debit Obligation (CDO), which played an important part in the past financial crisis starting from 2007. We will cover CDO’s definition, simple and synthetic versions of CDO, and CDO portfolios. The final module is the application of option pricing methodologies and takes natural gas and electricity related options as an example to introduce valuation methods such as dynamic programming in real options.",Coursera,8100000,5
CompTIA Exam Prep,https://www.coursera.org/learn/comptia-exam-prep,"This course is geared towards anyone looking to take the CompTIA A+ certification exam. This certification focuses predominately on computer support or helpdesk. This course gives you easy access to the invaluable learning techniques used by many in their preparation of the CompTIA A+ certification exam. We’ll learn about the exam process, expectations, and tip & tricks that can be used in passing the exam. Using these approaches, regardless of your skill levels in the topics and objective areas of the exam. If you’re already working in the industry or already have experience working as a helpdesk individual for a good length of time, this prep course will cover the more focused details about the exam. If you’re not as experienced, you’ll see not just the focus on exams details, but will also be given tips and tricks for passing the exam. You’ll also have some practice exploring some exam questions focusing in core concepts. If you’ve ever wanted to become certified as a CompTIA A+ technician, this course will help serve as your guide. This course has a wide array of exercises, such as videos, reading, peer review writing assignments, quizzes, and discussion questions. The only equipment needed is a computer with internet access. ",Coursera,3400000,10
Social Network Analysis,https://www.coursera.org/learn/social-network-analysis?specialization=computational-social-science-ucdavis,"This course is designed to quite literally ‘make a science’ out of something at the heart of society: social networks. Humans are natural network scientists, as we compute new network configurations all the time, almost unaware, when thinking about friends and family (which are particular forms of social networks), about colleagues and organizational relations (other, overlapping network structures), and about how to navigate delicate or opportunistic network configurations to save guard or advance in our social standing (with society being one big social network itself). While such network structures always existed, computational social science has helped to reveal and to study them more systematically. In the first part of the course we focus on network structure. This looks as static snapshots of networks, which can be intricate and reveal important aspects of social systems. In our hands-on lab, you will also visualize and analyze a network with a software yourself, which will help to appreciate the complexity social networks can take on. During the second part of the course, we will look at how networks evolve in time. We ask how we can predict what kind of network will form and if and how we could influence network dynamics.",Coursera,3400000,6
